,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,0.365446694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.655303531,0.401798152,0.059517073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.86891593,1.887442492,1.032452125,0.376582489,0.075770558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.849943547,3.075830892,2.153349611,1.181876489,0.644665043,0.215888377,0.031141885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.837980505,4.143298272,3.340128655,2.287824322,1.509550532,0.864059185,0.424191344,0.146086641,0.006505954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.836572917,5.107684372,4.479653673,3.408329422,2.563240841,1.697471648,1.097844979,0.587734767,0.277941955,0.068324867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.835977331,6.105915122,5.423673873,4.5759931,3.671503085,2.716384104,1.950949107,1.276336932,0.771704974,0.41780683,0.152620233,0.021322493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7.835761761,7.095868107,6.398101402,5.556621686,4.820018272,3.789227304,2.951112819,2.115354057,1.489654033,0.933705784,0.548879752,0.264388966,0.08486165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.835686932,8.084199353,7.402750812,6.515404885,5.837209801,4.913279089,4.010924553,3.099553648,2.344596945,1.653350211,1.104789737,0.700316464,0.365770946,0.157202256,0.02196283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9.835661299,9.078370739,8.369746142,7.540698527,6.781559427,5.972090271,5.125121299,4.142480388,3.316723348,2.497110951,1.848662455,1.268526674,0.824708388,0.481291201,0.248626263,0.07366688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10.83565256,10.07390219,9.349459828,8.480943349,7.730495218,6.886018441,6.225013274,5.237259069,4.350874486,3.462667511,2.70595726,2.010025374,1.425251931,0.97835872,0.599883884,0.330697375,0.13395877,0.023563182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11.83564958,11.07196756,10.3340418,9.442299006,8.749958929,7.866971185,7.136338467,6.352737334,5.439199439,4.486765804,3.675086798,2.858752345,2.186562382,1.60403271,1.107608087,0.712026812,0.428963782,0.209985871,0.067691276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12.83564857,12.07057206,11.3260207,10.4326086,9.721190474,8.875814604,8.12009752,7.262185036,6.555104061,5.561323693,4.699076282,3.813069054,3.046461233,2.36187183,1.741319619,1.253076893,0.845426537,0.526535418,0.278851713,0.118056301,0.013164757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13.83564822,13.0699862,12.32025947,11.42836482,10.7023252,9.854247228,9.092436585,8.233563563,7.492608678,6.664461812,5.770163615,4.824853492,4.003794748,3.215994236,2.515498173,1.912772497,1.398106583,0.954762154,0.624505045,0.362392325,0.182869974,0.048905461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14.8356481,14.06957027,13.31743133,12.42446031,11.68832298,10.82310684,10.11028751,9.192715145,8.461883064,7.616422857,6.869022163,5.884960801,5.015057883,4.163817999,3.378441801,2.704948522,2.058020419,1.529472241,1.08520604,0.740649058,0.449781535,0.24259315,0.08844401,0.009214841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
